# Provided by T. Golan
# 
# Data used in GENIE for piN total cross sections where N is either p or n
# use Nuwro's implementation of Oset et al. model [Nucl. Phys. A484 (1998) 557-592] for pi+N elas, cex, and pi absorption
# finite range effects are not included (the results can be applied to any nucleus)
# pi-p = pi+n and pi-n = pi+p
# pi0-N is taken to be the average of pi+ and pi-
# KE is LAB energy in MeV, cross sections in mb, d = density in fm-3
# qel = (elastic + cex)
# 
#        d        KE       pi+n qel      pi+n fcex       pi+p qel      pi+p fcex        pi0 qel       pi0 fcex        pi abs
      0.09       320        25.1433        14.4711        63.1908              0         44.167        15.8904        4.87773
      0.09       330        24.5562        14.2589        61.4216              0        42.9889        15.5517        4.38634
      0.09       340        24.0146        14.0622        59.7852              0        41.8999        15.2387        3.94967
      0.09       350        23.5141        13.8801        58.2681              0        40.8911        14.9491        3.55949
       0.1         0              0              0              0              0              0              0              0
       0.1        10        5.28626        3.26787        2.97849              0        4.13238         3.4615        8.55796
       0.1        20         5.3497        2.94324        3.15638              0        4.25304         3.1286        7.03887
       0.1        30        5.44405        2.72314        3.43558              0        4.43981        2.86897        6.73574
       0.1        40        5.59949        2.58601         3.9056              0        4.75254        2.69614        6.88865
       0.1        50        5.86228        2.53986        4.70425              0        5.28327        2.64316        7.33177
       0.1        60        6.30403        2.60807        6.04553              0        6.17478        2.75428        8.02509
       0.1        70        7.03522        2.83179        8.26006              0        7.64764        3.09186        8.97428
       0.1        80        8.20028        3.18262        11.7803              0        9.99031        3.69113        10.6947
       0.1        90        9.99147        3.79284        17.1825              0         13.587        4.68578        12.9882
       0.1       100        12.5858        4.75044        24.9969              0        18.7913        6.17767        15.8131
       0.1       110        15.9693        6.06968        35.1808              0         25.575        8.15454         19.138
       0.1       120        19.7926        7.64398         46.686              0        33.2393        10.4168         22.805
       0.1       130        23.5401        9.29153        57.9647              0        40.7524        12.6757        26.4735
       0.1       140        26.8912        10.8844        68.0546              0        47.4729        14.7558        29.5957
       0.1       150        29.6091        12.3088        76.2453              0        52.9272        16.5156        31.5768
       0.1       160        31.6018         13.497          82.26              0        56.9309        17.8872         32.045
       0.1       170        32.8899        14.4248        86.1604              0        59.5252        18.8648        31.0337
       0.1       180         33.559        15.0992        88.2025              0        60.8807         19.481        28.9239
       0.1       190        33.7226        15.5459        88.7266              0        61.2246        19.7891        26.2187
       0.1       200        33.4985        15.8004        88.0862              0        60.7923        19.8493        23.3453
       0.1       210        32.9956        15.9011        86.6073              0        59.8014        19.7211        20.5801
       0.1       220        32.3069         15.885        84.5687              0        58.4378        19.4582        18.0626
       0.1       230        31.5072        15.7848         82.195              0        56.8511        19.1058        15.8409
       0.1       240        30.6538        15.6282        79.6573              0        55.1555        18.7004        13.9125
       0.1       250         29.788        15.4367        77.0795              0        53.4338        18.2693        12.2513
       0.1       260        28.9381        15.2267        74.5463              0        51.7422        17.8324        10.8231
       0.1       270        28.1219        15.0101        72.1112              0        50.1165        17.4032        9.59357
       0.1       280        27.3498        14.7949         69.805              0        48.5774        16.9903        8.53144
       0.1       290        26.6266        14.5864        67.6422              0        47.1344        16.5987        7.60967
       0.1       300        25.9537        14.3878        65.6265              0        45.7901        16.2309         6.8055
       0.1       310        25.3298        14.2008        63.7545              0        44.5422        15.8875        6.10001
       0.1       320        24.7526        14.0262        62.0187              0        43.3857        15.5682        5.47757
       0.1       330        24.2188         13.864        60.4095              0        42.3142         15.272        4.92531
       0.1       340         23.725        13.7139        58.9163              0        41.3206        14.9974        4.43264
       0.1       350        23.2675        13.5753        57.5284              0         40.398         14.743        3.99079
      0.11         0              0              0              0              0              0              0              0
      0.11        10        5.28619        3.21329        2.97827              0        4.13223        3.41244        9.36608
      0.11        20        5.34897         2.8764        3.15419              0        4.25158        3.06429        7.67102
      0.11        30         5.4413        2.64991        3.42734              0        4.43432        2.79589        7.31509
      0.11        40         5.5923        2.50858        3.88403              0        4.73817        2.61715        7.45974
      0.11        50        5.84682        2.45802        4.65788              0        5.25235        2.55796        7.92083
      0.11        60        6.27444        2.51913        5.95676              0         6.1156        2.65941        8.65257
      0.11        70        6.98253        2.73005        8.10199              0        7.54226        2.98047        9.65898
      0.11        80        8.10756        3.05255        11.5022              0        9.80488        3.54822        11.5176
      0.11        90        9.82938        3.61548        16.6962              0        13.2628        4.48999        13.9935
      0.11       100        12.3058        4.49692        24.1569              0        18.2314        5.89637         17.025
      0.11       110        15.5203        5.70796         33.834              0        24.6772        7.75554        20.5575
      0.11       120        19.1188        7.14168        44.6645              0        31.8917        9.86709        24.3997
      0.11       130        22.5847        8.62015        55.0984              0        38.8416        11.9427        28.1779
      0.11       140        25.6148        10.0251        64.2255              0        44.9202        13.8165         31.348
      0.11       150        28.0647        11.2826        71.6122              0        49.8385        15.4022        33.3277
      0.11       160        29.8736        12.3425        77.0754              0        53.4745        16.6513        33.7768
      0.11       170         31.068        13.1874        80.6945              0        55.8812        17.5623        32.7507
      0.11       180        31.7242        13.8232         82.698              0        57.2111        18.1637        30.6288
      0.11       190        31.9392        14.2701        83.3766              0        57.6579        18.4994        27.8997
      0.11       200        31.8125        14.5558        83.0283              0        57.4204        18.6188        24.9806
      0.11       210        31.4357        14.7101        81.9275              0        56.6816        18.5707        22.1467
      0.11       220        30.8872        14.7623        80.3098              0        55.5985        18.3997        19.5425
      0.11       230        30.2312        14.7387        78.3669              0         54.299        18.1436        17.2235
      0.11       240        29.5172        14.6618        76.2475              0        52.8824        17.8335        15.1931
      0.11       250         28.782        14.5497        74.0616              0        51.4218        17.4934        13.4301
      0.11       260        28.0515        14.4165        71.8866              0         49.969        17.1411        11.9033
      0.11       270        27.3428        14.2726        69.7738              0        48.5583        16.7893          10.58
      0.11       280        26.6664        14.1256        67.7548              0        47.2106        16.4466        9.42989
      0.11       290        26.0281        13.9807        65.8467              0        45.9374        16.1182        8.42616
      0.11       300        25.4304        13.8412        64.0566              0        44.7435        15.8071        7.54594
      0.11       310        24.8733        13.7092        62.3849              0        43.6291         15.515        6.77001
      0.11       320        24.3555        13.5858        60.8274              0        42.5915         15.242        6.08236
      0.11       330         23.875        13.4717        59.3779              0        41.6264        14.9879        5.46969
      0.11       340        23.4291        13.3667        58.0286              0        40.7289        14.7518        4.92096
      0.11       350        23.0152        13.2708        56.7713              0        39.8933        14.5326          4.427
      0.12         0              0              0              0              0              0              0              0
      0.12        10        5.28613        3.16047        2.97809              0        4.13211        3.36419        10.1714
      0.12        20        5.34834        2.81274        3.15231              0        4.25033        3.00213         8.2988
      0.12        30         5.4389        2.58116        3.42013              0        4.42952        2.72648        7.88842
      0.12        40        5.58596        2.43687          3.865              0        4.72548        2.54341        8.02291
      0.12        50        5.83305        2.38314        4.61656              0         5.2248        2.47966        8.49969
      0.12        60        6.24766        2.43852        5.87643              0        6.06204        2.57308        9.26699
      0.12        70        6.93422        2.63837        7.95707              0        7.44564        2.87954        10.3269
      0.12        80        8.02013        2.93509        11.2399              0        9.63002        3.41757         12.319
      0.12        90        9.67201        3.45405        16.2241              0        12.9481        4.30786        14.9692
      0.12       100        12.0264        4.26335        23.3186              0        17.6725        5.62859        18.1935
      0.12       110        15.0553        5.36785        32.4388              0         23.747        7.36264        21.9129
      0.12       120        18.4251        6.66907        42.5834              0        30.5042        9.32423        25.9017
      0.12       130        21.6518        8.00501        52.2999              0        36.9758        11.2452         29.752
      0.12       140        24.4132        9.25348        60.6207              0        42.5169        12.9469        32.9236
      0.12       150        26.6281        10.3673        67.3022              0        46.9651        14.3802        34.8743
      0.12       160         28.275        11.3153        72.2797              0        50.2774        15.5207        35.2939
      0.12       170        29.3849        12.0854        75.6453              0        52.5151        16.3707        34.2581
      0.12       180         30.026        12.6828        77.6034              0        53.8147        16.9549        32.1405
      0.12       190        30.2815        13.1236        78.4033              0        54.3424        17.3097        29.4116
      0.12       200        30.2356        13.4292        78.2976              0        54.2666         17.476        26.4741
      0.12       210        29.9658        13.6234        77.5179              0        53.7418         17.494        23.5987
      0.12       220        29.5386        13.7291        76.2638              0        52.9012        17.4005        20.9329
      0.12       230        29.0087        13.7675        74.6993              0         51.854        17.2273         18.538
      0.12       240         28.419        13.7567        72.9529              0         50.686        17.0008        16.4235
      0.12       250        27.8021        13.7119        71.1218              0         49.462        16.7418         14.573
      0.12       260        27.1813        13.6451        69.2759              0        48.2286        16.4663        12.9588
      0.12       270        26.5727        13.5652        67.4635              0        47.0181        16.1857        11.5505
      0.12       280        25.9867        13.4793        65.7158              0        45.8513        15.9085         10.319
      0.12       290        25.4296        13.3921        64.0513              0        44.7405        15.6398        9.23819
      0.12       300        24.9046        13.3071        62.4793              0         43.692        15.3832        8.28542
      0.12       310        24.4127        13.2264         61.003              0        42.7078        15.1407        7.44148
      0.12       320        23.9535        13.1514        59.6213              0        41.7874         14.913        6.69017
      0.12       330        23.5258        13.0831        58.3304              0        40.9281        14.7004        6.01795
      0.12       340        23.1279        13.0217        57.1251              0        40.1265        14.5024        5.41347
      0.12       350        22.7578        12.9673        55.9992              0        39.3785        14.3187        4.86725
      0.13         0              0              0              0              0              0              0              0
      0.13        10        5.28608        3.10921        2.97793              0          4.132        3.31666        10.9743
      0.13        20        5.34779        2.75195        3.15066              0        4.24923        2.94193        8.92261
      0.13        30        5.43678        2.51642        3.41377              0        4.42527        2.66038        8.45625
      0.13        40        5.58032         2.3702        3.84809              0        4.71421        2.47436        8.57881
      0.13        50        5.82065        2.31431        4.57936              0            5.2        2.40737        9.06911
      0.13        60        6.22334        2.36512        5.80347              0         6.0134        2.49422        9.86924
      0.13        70        6.88958        2.55526        7.82316              0        7.35637        2.78754        10.9792
      0.13        80        7.93783        2.82859         10.993              0        9.46541        3.29796        13.0999
      0.13        90        9.51989        3.30671        15.7677              0        12.6438        4.13847        15.9158
      0.13       100        11.7534         4.0492        22.4995              0        17.1264        5.37666        19.3185
      0.13       110        14.5915        5.05248        31.0473              0        22.8194        6.98536        23.2037
      0.13       120        17.7441        6.23388        40.5404              0        29.1423        8.80671        27.3093
      0.13       130        20.7452        7.44114        49.5798              0        35.1625        10.5834        31.2005
      0.13       140        23.2829        8.55946        57.2297              0        40.2563        12.1419        34.3377
      0.13       150        25.2928        9.54977        63.2964              0        44.2946        13.4424        36.2324
      0.13       160        26.7968        10.3999        67.8449              0        47.3208        14.4866         36.613
      0.13       170        27.8301        11.1025        70.9807              0        49.4054        15.2803        35.5709
      0.13       180        28.4541        11.6624        72.8876              0        50.6708        15.8455        33.4707
      0.13       190        28.7407        12.0923        73.7809              0        51.2608        16.2127        30.7615
      0.13       200        28.7616        12.4095        73.8754              0        51.3185        16.4156        27.8289
      0.13       210        28.5824        12.6324        73.3677              0         50.975        16.4876         24.936
      0.13       220        28.2597        12.7794        72.4272              0        50.3434        16.4591        22.2313
      0.13       230        27.8402        12.8674        71.1939              0        49.5171        16.3569        19.7806
      0.13       240        27.3611        12.9111        69.7791              0        48.5701        16.2033        17.5992
      0.13       250        26.8508        12.9229        68.2679              0        47.5593        16.0163        15.6754
      0.13       260        26.3303        12.9129         66.723              0        46.5267          15.81        13.9852
      0.13       270        25.8145        12.8891        65.1891              0        45.5018        15.5947         12.501
      0.13       280        25.3135        12.8573        63.6961              0        44.5048        15.3781        11.1951
      0.13       290        24.8335        12.8222        62.2629              0        43.5482        15.1657        10.0425
      0.13       300        24.3784        12.7869        60.9006              0        42.6395        14.9609         9.0212
      0.13       310        23.9497        12.7538        59.6141              0        41.7819        14.7661        8.11212
      0.13       320        23.5479        12.7242        58.4046              0        40.9762        14.5824        7.29913
      0.13       330        23.1725        12.6993        57.2704              0        40.2214        14.4104        6.56859
      0.13       340        22.8223        12.6797        56.2083              0        39.5153        14.2503        5.90901
      0.13       350        22.4961        12.6656        55.2141              0        38.8551        14.1019        5.31071
      0.14         0              0              0              0              0              0              0              0
      0.14        10        5.28603        3.05938         2.9778              0        4.13191        3.26978        11.7748
      0.14        20        5.34731        2.69377        3.14922              0        4.24826        2.88356        9.54278
      0.14        30        5.43489        2.45529         3.4081              0         4.4215        2.59733        9.01899
      0.14        40        5.57528        2.30803        3.83296              0        4.70412        2.40952        9.12794
      0.14        50        5.80942        2.25082        4.54567              0        5.17754        2.34038         9.6297
      0.14        60        6.20105        2.29796        5.73659              0        5.96882        2.42182        10.4601
      0.14        70        6.84822        2.47963        7.69906              0        7.27364        2.70341        11.6168
      0.14        80        7.85976         2.7315        10.7588              0        9.30928        3.18782         13.861
      0.14        90        9.37327        3.17193        15.3279              0        12.3506         3.9809        16.8338
      0.14       100        11.4861        3.85201        21.6979              0         16.592        5.13887        20.4001
      0.14       110         14.142        4.76337        29.6991              0        21.9206        6.63019         24.429
      0.14       120        17.0661        5.82861        38.5065              0        27.7863        8.30692        28.6263
      0.14       130        19.8521        6.91882        46.9005              0        33.3763         9.9475        32.5327
      0.14       140        22.2074        7.92947        54.0032              0        38.1053        11.3891        35.6106
      0.14       150         24.052        8.81829        59.5741              0        41.8131        12.5818         37.419
      0.14       160        25.4297        9.58283        63.7438              0        44.5868        13.5404         37.751
      0.14       170        26.3933        10.2245        66.6704              0        46.5318        14.2822        36.7045
      0.14       180        26.9988        10.7481        68.5217              0        47.7602        14.8272        34.6318
      0.14       190        27.3087        11.1641        69.4849              0        48.3968        15.2011        31.9582
      0.14       200        27.3844        11.4862        69.7439              0        48.5641        15.4321        29.0497
      0.14       210        27.2817         11.729        69.4657              0        48.3737        15.5478        26.1601
      0.14       220        27.0489        11.9073        68.7948              0        47.9218        15.5737        23.4367
      0.14       230        26.7258        12.0345        67.8507              0        47.2883         15.532        20.9489
      0.14       240        26.3446        12.1225        66.7296              0        46.5371        15.4417        18.7168
      0.14       250        25.9301        12.1816        65.5056              0        45.7179        15.3183        16.7335
      0.14       260        25.5009          12.22        64.2349              0        44.8679        15.1738        14.9788
      0.14       270        25.0708        12.2446        62.9577              0        44.0142        15.0178        13.4277
      0.14       280         24.649        12.2606        61.7026              0        43.1758        14.8574        12.0548
      0.14       290         24.242        12.2721        60.4882              0        42.3651        14.6975        10.8362
      0.14       300        23.8536         12.282        59.3262              0        41.5899        14.5417         9.7507
      0.14       310         23.486        12.2926         58.223              0        40.8545        14.3924        8.77976
      0.14       320        23.1401        12.3053        57.1812              0        40.1606        14.2512        7.90745
      0.14       330         22.816        12.3214         56.201              0        39.5085         14.119        7.12021
      0.14       340        22.5132        12.3416        55.2808              0         38.897        13.9961         6.4065
      0.14       350        22.2307        12.3662        54.4179              0        38.3243        13.8826        5.75656
      0.15         0              0              0              0              0              0              0              0
      0.15        10        5.28599        3.01086        2.97768              0        4.13184        3.22352        12.5733
      0.15        20        5.34688        2.63799        3.14793              0         4.2474        2.82691        10.1596
      0.15        30        5.43319        2.39744        3.40301              0         4.4181        2.53709        9.57699
      0.15        40        5.57067        2.24987        3.81913              0         4.6949        2.34845        9.67074
      0.15        50        5.79916        2.19204         4.5149              0        5.15703        2.27811         10.182
      0.15        60        6.18052         2.2363          5.675              0        5.92776        2.35515        11.0401
      0.15        70        6.80967        2.41049        7.58341              0        7.19654        2.62617        12.2403
      0.15        80          7.786        2.64281        10.5375              0        9.16176        3.08644        14.6029
      0.15        90        9.23249        3.04841        14.9056              0         12.069        3.83439        17.7234
      0.15       100        11.2269         3.6706          20.92              0        16.0734        4.91542        21.4387
      0.15       110        13.7052         4.4971        28.3884              0        21.0468        6.29451        25.5899
      0.15       120        16.4133        5.45739         36.548              0        26.4807        7.83658        29.8533
      0.15       130        19.0054        6.44487        44.3604              0        31.6829        9.35538        33.7473
      0.15       140        21.1926        7.35948        50.9588              0        36.0757        10.6897        36.7472
      0.15       150        22.8976         8.1621        56.1108              0        39.5042        11.7908        38.4538
      0.15       160        24.1651        8.85215        59.9499              0        42.0575        12.6741        38.7255
      0.15       170        25.0652        9.43889        62.6861              0        43.8756        13.3682        37.6749
      0.15       180        25.6511        9.92783        64.4788              0        45.0649        13.8922        35.6367
      0.15       190        25.9778        10.3278        65.4924              0        45.7351        14.2684         33.011
      0.15       200        26.0982        10.6498        65.8853              0        45.9917        14.5203        30.1424
      0.15       210        26.0599        10.9057        65.8002              0          45.93        14.6711        27.2737
      0.15       220         25.904         11.107        65.3602              0        45.6321        14.7421        24.5496
      0.15       230        25.6649        11.2647         64.668              0        45.1664        14.7517        22.0415
      0.15       240        25.3701        11.3884        63.8061              0        44.5881         14.716         19.774
      0.15       250        25.0413        11.4864        62.8392              0        43.9402        14.6483        17.7443
      0.15       260        24.6949        11.5657        61.8169              0        43.2559        14.5592        15.9362
      0.15       270        24.3434        11.6319        60.7755              0        42.5595        14.4568        14.3275
      0.15       280        23.9953        11.6897        59.7415              0        41.8684        14.3477        12.8951
      0.15       290        23.6568        11.7425        58.7327              0        41.1948        14.2365        11.6165
      0.15       300        23.3319        11.7931        57.7611              0        40.5465        14.1268        10.4716
      0.15       310         23.023        11.8437        56.8339              0        39.9284         14.021         9.4424
      0.15       320        22.7313        11.8956        55.9549              0        39.3431        13.9206        8.51347
      0.15       330        22.4574        11.9501        55.1253              0        38.7914        13.8269        7.67144
      0.15       340        22.2012         12.008        54.3451              0        38.2732        13.7404        6.90487
      0.15       350        21.9623        12.0699        53.6127              0        37.7875        13.6615          6.204
      0.16         0              0              0              0              0              0              0              0
      0.16        10        5.28596        2.96354        2.97757              0        4.13177        3.17782        13.3698
      0.16        20        5.34649        2.58442        3.14677              0        4.24663        2.77188        10.7732
      0.16        30        5.43166         2.3426        3.39842              0        4.41504        2.47947        10.1306
      0.16        40        5.56645        2.19535        3.80646              0        4.68645        2.29081        10.2076
      0.16        50        5.78973        2.13749        4.48662              0        5.13817        2.22008        10.7264
      0.16        60        6.16148        2.17949         5.6179              0        5.88969        2.29353        11.6099
      0.16        70         6.7736        2.34707        7.47522              0        7.12441        2.55502        12.8504
      0.16        80        7.71592        2.56145        10.3273              0        9.02159         2.9927        15.3263
      0.16        90         9.0973        2.93493           14.5              0        11.7986        3.69796        18.5851
      0.16       100        10.9776        3.50399        20.1723              0        15.5749        4.70648        22.4343
      0.16       110        13.2843        4.25246        27.1258              0         20.205        5.97908        26.6872
      0.16       120        15.7929        5.11923        34.6869              0        25.2399         7.3983        30.9908
      0.16       130        18.1839        6.00776         41.896              0        30.0399        8.79266        34.8545
      0.16       140        20.2205        6.83786        48.0426              0        34.1315        10.0311        37.7638
      0.16       150        21.8136          7.569        52.8587              0        37.3361        11.0577        39.3595
      0.16       160        22.9942        8.19738        56.4374              0        39.7158        11.8803         39.554
      0.16       170        23.8369        8.73481        59.0012              0         41.419        12.5305        38.4978
      0.16       180        24.4027        9.19096        60.7336              0        42.5681        13.0333        36.4987
      0.16       190        24.7409        9.57361        61.7816              0        43.2612        13.4082        33.9299
      0.16       200        24.8973        9.89181        62.2826              0        43.5899        13.6753        31.1139
      0.16       210        24.9128        10.1551        62.3591              0        43.6359         13.854        28.2808
      0.16       220        24.8228        10.3729        62.1165              0        43.4696        13.9618        25.5713
      0.16       230        24.6565        10.5539        61.6427              0        43.1496        14.0147        23.0582
      0.16       240        24.4377        10.7059        61.0089              0        42.7233         14.026        20.7692
      0.16       250        24.1853        10.8357        60.2712              0        42.2282        14.0069        18.7056
      0.16       260        23.9137        10.9491        59.4732              0        41.6934        13.9668        16.8549
      0.16       270         23.634        11.0508        58.6474              0        41.1407        13.9127        15.1978
      0.16       280        23.3541        11.1447        57.8178              0         40.586        13.8504        13.7134
      0.16       290        23.0797         11.234        57.0015              0        40.0406        13.7843         12.381
      0.16       300        22.8149        11.3211        56.2101              0        39.5125        13.7176        11.1816
      0.16       310         22.562        11.4079        55.4511              0        39.0065        13.6528        10.0981
      0.16       320        22.3227        11.4958         54.729              0        38.5259        13.5915        9.11561
      0.16       330        22.0977        11.5862        54.0462              0         38.072         13.535          8.221
      0.16       340        21.8874        11.6797        53.4034              0        37.6454        13.4841         7.4031
      0.16       350        21.6915        11.7771        52.8002              0        37.2458        13.4391        6.65227
      0.17         0              0              0              0              0              0              0              0
      0.17        10        5.28593        2.91736        2.97748              0         4.1317        3.13269        14.1645
      0.17        20        5.34615        2.53292        3.14573              0        4.24594        2.71842        11.3839
      0.17        30        5.43026        2.29054        3.39422              0        4.41224        2.42431        10.6799
      0.17        40        5.56263        2.14419        3.79502              0        4.67882        2.23644        10.7387
      0.17        50        5.78103        2.08674         4.4605              0        5.12076        2.16589        11.2634
      0.17        60        6.14375        2.12702         5.5647              0        5.85423        2.23643        12.1698
      0.17        70        6.73968        2.28871        7.37345              0        7.05656        2.48926        13.4477
      0.17        80        7.64896        2.48652        10.1264              0        8.88768        2.90566        16.0316
      0.17        90        8.96726        2.83032        14.1099              0        11.5386        3.57057        19.4192
      0.17       100        10.7382        3.35067         19.454              0        15.0961        4.51099        23.3871
      0.17       110        12.8847        4.02898         25.927              0        19.4058        5.68573        27.7211
      0.17       120        15.1979         4.8088        32.9017              0        24.0498        6.98632         32.044
      0.17       130        17.4162        5.61319         39.593              0        28.5046         8.2744        35.8538
      0.17       140        19.3117        6.36707        45.3162              0         32.314        9.42343         38.659
      0.17       150        20.8016        7.03411        49.8227              0        35.3121        10.3814         40.141
      0.17       160        21.9084         7.6091        53.1797              0         37.544        11.1516        40.2554
      0.17       170           22.7        8.10264        55.5907              0        39.1453        11.7623        39.1884
      0.17       180        23.2457        8.52804        57.2626              0        40.2541        12.2439        37.2307
      0.17       190         23.591        8.89275         58.332              0        40.9615        12.6149        34.7251
      0.17       200        23.7762        9.20442        58.9192              0        41.3477        12.8923        31.9712
      0.17       210        23.8366        9.47087        59.1303              0        41.4835        13.0926        29.1858
      0.17       220        23.8025         9.6997        59.0558              0        41.4291        13.2306        26.5043
      0.17       230        23.6992        9.89795        58.7709              0        41.2351        13.3196        23.9994
      0.17       240        23.5471         10.072        58.3371              0        40.9421         13.371        21.7016
      0.17       250        23.3625        10.2274         57.803              0        40.5828        13.3942        19.6159
      0.17       260        23.1582         10.369        57.2067              0        40.1825        13.3972        17.7328
      0.17       270        22.9439        10.5006        56.5772              0        39.7605        13.3862        16.0363
      0.17       280        22.7268        10.6256         55.936              0        39.3314        13.3664        14.5075
      0.17       290        22.5122        10.7468        55.2989              0        38.9055        13.3417        13.1276
      0.17       300        22.3039        10.8662        54.6771              0        38.4905        13.3151        11.8789
      0.17       310        22.1044        10.9857        54.0781              0        38.0912        13.2888        10.7453
      0.17       320        21.9153        11.1066        53.5069              0        37.7111        13.2647        9.71238
      0.17       330        21.7378        11.2302        52.9664              0        37.3521         13.244        8.76767
      0.17       340        21.5722        11.3572         52.458              0        37.0151        13.2275        7.90023
      0.17       350        21.4188        11.4884        51.9821              0        36.7004        13.2159        7.10062
